Date,Cases
12/1/2021,278
12/2/2021,311
12/3/2021,245
12/4/2021,246
12/5/2021,196
12/6/2021,130
12/7/2021,261
12/8/2021,264
12/9/2021,250
12/10/2021,192
12/11/2021,228
12/12/2021,163
12/13/2021,106
12/14/2021,190
12/15/2021,205
12/16/2021,213
12/17/2021,291
12/18/2021,232
12/19/2021,164
12/20/2021,133
12/21/2021,216
12/22/2021,179
12/23/2021,136
12/24/2021,204
12/25/2021,255
12/26/2021,92
12/27/2021,120
